task_id,group_id,neuron_id
0,BC,0
1,BC,1
2,BC,10
3,BC,11
4,BC,12
5,BC,3
6,BC,4
7,BC,5
8,BC,6
9,BC,7
10,BC,8
11,BC,9
12,POm,46
13,POm,47
14,POm,48
15,POm,49
16,POm,50
17,POm,51
18,POm,52
19,POm,53
20,POm,54
21,POm,55
22,POm,56
23,POm,57
24,POm,58
25,POm,59
26,POm,60
27,POm,61
28,POm,62
29,VPM,21
30,VPM,22
31,VPM,23
32,VPM,24
33,VPM,25
34,VPM,26
35,VPM,27
36,VPM,28
37,VPM,29
38,VPM,30
39,VPM,31
40,VPM,32
41,VPM,33
42,VPM,34
43,VPM,35
44,VPM,36
45,VPM,37
46,VPM,38
47,VPM,39
48,VPM,40
49,VPM,41
50,VPM,42
51,VPM,43
52,VPM,44
53,VPM,45
54,VPM,63
55,ZIv,13
56,ZIv,14
57,ZIv,15
58,ZIv,16
59,ZIv,17
60,ZIv,18
61,ZIv,19
62,ZIv,20
