history(intervals),TE(nats/sec),runtime(sec)
2,0.524719649,200.7413368
2,0.563200066,293.6570156
2,0.472035735,291.4354463
2,0.55714744,167.6411476
2,0.480563755,249.551995
2,0.538189856,301.388999
2,0.504263422,219.6566978
2,0.488081066,255.7761266
2,0.53174967,166.6225808
2,0.496283288,190.7721231
4,0.545998892,248.3208835
4,0.577585005,213.0497143
4,0.499508725,307.7391582
4,0.492909685,147.2373278
4,0.526231818,263.2476196
4,0.55121246,248.6238456
4,0.517862275,228.2591982
4,0.548280885,158.7637503
4,0.534930379,199.3797252
4,0.551263545,191.7420881
8,0.54676676,488.2863216
8,0.54921793,308.8930519
8,0.450336016,321.1146116
8,0.531209567,216.9290769
8,0.491941952,253.0129237
8,0.561045665,287.2455719
8,0.500617709,236.111151
8,0.537476917,220.6210954
8,0.656061163,224.7427807
8,0.559727462,184.6520035
16,0.550443267,291.8692348
16,0.539502849,287.8521819
16,0.523463449,297.8777454
16,0.553183497,241.6714149
16,0.487603642,221.4077203
16,0.596100895,288.7122445
16,0.603490678,185.2809703
16,0.566861939,469.5954022
16,0.582064822,476.9370813
16,0.564821861,484.8241172
32,0.626385618,261.366183
32,0.533813722,171.7758198
32,0.57471536,296.3465376
32,0.525666076,216.6353986
32,0.539777233,355.672425
32,0.539819082,283.7704117
32,0.474416457,209.9419436
32,0.520707284,203.290837
32,0.512706662,230.1976113
32,0.579746437,224.3026204
64,0.524586569,280.6365116
64,0.554115982,215.292309
64,0.481289063,293.2776074
64,0.431044146,194.0733511
64,0.558679323,253.3963945
64,0.531218286,238.0010078
64,0.533057337,180.5478103
64,0.58101691,316.6124222
64,0.568903756,194.0533204
64,0.540468621,251.0965202
128,0.512988468,313.4500351
128,0.535466859,306.8287265
128,0.581303231,363.9735317
128,0.546508425,302.8252671
128,0.567358619,357.813895
128,0.513256724,343.3333249
128,0.579928641,178.8430679
128,0.498095644,273.4604464
128,0.470702807,199.3032801
128,0.556126393,264.717268
256,0.560411639,284.3811729
256,0.582603166,280.842191
256,0.489429254,404.0461049
256,0.536973231,219.3400371
256,0.651435358,329.2556319
256,0.498300218,394.8434143
256,0.534355573,218.7704327
256,0.481324832,206.3137751
256,0.596076044,281.6065617
256,0.516826682,252.7037952
