Number,State,Value,Param L2_weight_yyx,Param L_entropy_weight_yyx,Param L_scale_weight_yyx,Param L_sep_weight_yyx,Param activation_func_yyx,Param context_extractor_yyx,Param context_size_yyx,Param hidden_size_yyx_l0,Param hidden_size_yyx_l1,Param learning_rate_yyx,Param n_layers_yyx,Param num_mix_components_yyx,UserAttribute h_yyx_test_sec_run_0,UserAttribute log_loss_yyx_run_0
0,COMPLETE,0.7253514629056776,1.053700083689251e-05,1.336410659545762e-06,6.345171588923492e-07,0.000756620818276375,ReLU,gru,3,4,,0.001277972295154902,1,2,0.2947789151225721,0.7253514629056776
1,COMPLETE,0.6676393034697891,3.863247797139205e-06,1.380428471475768e-07,1.638005161161512e-10,8.155390908462456e-06,GELU,gru,3,5,4,0.0009459448890557953,2,5,0.3530107501451605,0.6676393034697891
2,PRUNED,0.9910884416359791,4.0167069476142045e-10,2.93127228333828e-09,1.1971730823469273e-09,1.5825812288856913e-06,ReLU,gru,1,3,5,0.000622376250910063,2,5,,
3,PRUNED,1.0027009859986755,0.0003953749766300766,2.400619527721609e-10,2.360558457498582e-05,1.6547313146745706e-10,GELU,gru,1,5,,0.005276918071231035,1,1,,
4,COMPLETE,0.5230112977478729,5.8293286109105795e-06,1.772325429109984e-06,1.4387530372497388e-07,1.5104297068828486e-10,Tanh,lstm,4,6,,0.005132640498853147,1,5,0.4627554476085078,0.5230112977478729
5,PRUNED,0.7266727283395726,1.0107102183015106e-09,7.963530998696047e-08,2.9793744842181913e-08,0.00040623903083719627,Tanh,lstm,3,5,,0.002520160063294749,1,2,,
6,COMPLETE,0.6332826409237333,1.0028908103854322e-09,4.41000753063532e-08,0.000676037250791381,3.5859441410546648e-09,GELU,lstm,3,6,2,0.0051352230119263475,2,4,0.3642374397379444,0.6332826409237333
7,PRUNED,0.6857064119752136,5.112036301688622e-08,1.121579027162781e-06,1.630431427710421e-07,5.042890883133254e-07,Tanh,lstm,4,5,4,0.0010216428788643761,2,5,,
8,PRUNED,0.9233222558773894,2.6135038522729172e-08,5.314246067276034e-05,1.2180259215357151e-05,1.3251469797285232e-09,ReLU,lstm,1,4,,0.0010411754990261365,1,3,,
9,PRUNED,0.8043045484763256,1.0734552131964047e-10,0.00011447657429476305,2.0906577791453313e-08,1.7282504320039372e-06,ReLU,lstm,1,3,5,0.009641163847714867,2,2,,
10,PRUNED,0.7606975532520288,0.0001310234043381025,0.0005272993832550238,3.5921590707440037e-06,2.651757538682978e-08,Tanh,lstm,4,2,,0.0026742247606961213,1,4,,
11,COMPLETE,0.5685797481908984,1.4151837304364203e-06,8.934181198993067e-09,0.0006302159070237171,7.564374242506778e-09,GELU,lstm,4,6,2,0.004975005381944511,2,4,0.4260568546373181,0.5685797481908984
12,PRUNED,0.6146788699678208,1.6658693041533422e-06,3.974044141341868e-09,0.000621032082415083,1.2667086472838477e-10,GELU,lstm,4,6,2,0.004643558979305038,2,4,,
13,PRUNED,0.678638852316478,2.5423493320172727e-07,1.065084687760411e-05,5.428536349398479e-05,3.518056466567112e-08,Tanh,lstm,2,6,,0.008426815105735433,1,4,,
14,PRUNED,0.6972366688906282,2.0908661723164447e-05,1.1856450852458642e-08,4.994405501860291e-07,1.6187061955305046e-09,GELU,lstm,4,6,3,0.0038843023179993786,2,3,,
15,PRUNED,0.697899892367143,9.451496422405307e-07,4.5207379262310723e-10,1.39252993800993e-08,2.615735466661423e-08,Tanh,lstm,2,6,,0.007115726869592835,1,5,,
16,COMPLETE,0.5694017429361348,7.113891761274993e-05,2.555114157396807e-06,2.3426379854908094e-09,4.942237021333783e-09,GELU,lstm,4,5,6,0.00178303995551328,2,3,0.4307846097985693,0.5694017429361348
17,PRUNED,0.6788594826511767,1.4003912052573213e-07,5.128782180235999e-07,2.0258632222570408e-06,3.478256620856526e-10,Tanh,lstm,4,4,,0.0034364030510591207,1,4,,
18,COMPLETE,0.5121573748261765,9.238316175211992e-09,1.4297080771282082e-05,8.530557610134177e-08,1.2755448653999157e-07,GELU,gru,2,3,3,0.006765473400890757,2,5,0.490042827451669,0.5121573748261765
19,PRUNED,0.7770539913969436,9.38094271908059e-09,1.0300704598080559e-05,7.140374930988001e-08,4.0084408843573184e-05,Tanh,gru,2,2,,0.0063002355572796655,1,5,,
20,PRUNED,0.8066319822966903,5.925779804463866e-09,1.0136001932352598e-05,2.262138663078255e-09,2.149926685793637e-07,GELU,gru,2,3,,0.0034027512539152906,1,5,,
21,PRUNED,0.7722234463560516,8.60439172006891e-07,6.089762587827629e-05,1.6192534466827553e-07,1.0900023457628805e-07,GELU,gru,3,3,3,0.007188735386472925,2,4,,
22,PRUNED,0.9112180029528925,1.0622267670570543e-05,2.893661646918748e-08,1.7886701569193449e-06,1.2833660636737336e-08,GELU,gru,2,2,3,0.0018640058251313512,2,5,,
23,PRUNED,0.7491696612008397,1.230723735037471e-07,2.8750406108121454e-07,0.00010417174810473533,7.754963949604214e-10,GELU,gru,3,6,2,0.004330624893141451,2,4,,
24,PRUNED,0.5520448765795252,2.9644114447996948e-06,5.401506204173168e-06,8.321770109446352e-06,1.0194008026797581e-07,GELU,lstm,4,4,3,0.006060456492281338,2,5,,
25,PRUNED,0.8049449424495573,5.124979236825996e-07,1.042663763112639e-09,1.2030771312249686e-08,6.331713412749867e-09,Tanh,lstm,3,3,2,0.002944541662634624,2,4,,
26,PRUNED,0.5409303701418886,5.7861982320886066e-09,3.8104966454670576e-07,7.108065082934475e-07,4.844548196417684e-10,GELU,gru,2,5,4,0.009166872234285823,2,5,,
