task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te mean (nats per second),te std,mean runtime (second),
159,BC,7,POm,52,-0.542384612,2.875433973,608.4504561,FALSE
304,POm,54,BC,12,-0.024784287,1.570806498,602.8793731,FALSE
364,POm,59,BC,12,-0.448777764,1.873935953,511.3517531,FALSE
157,BC,7,POm,50,0.463723661,0.880590301,498.4002871,FALSE
142,BC,6,POm,52,1.076344438,1.957272483,497.4124939,FALSE
158,BC,7,POm,51,0.587545283,1.189803402,487.5685865,FALSE
232,POm,48,BC,12,0.057608801,1.322218275,456.1267763,FALSE
309,POm,54,BC,7,-0.475640743,1.604017734,428.6985547,FALSE
211,POm,46,BC,5,0.035670288,1.168502064,425.7575069,FALSE
57,BC,11,POm,52,3.822337117,7.420701826,424.9538189,FALSE
141,BC,6,POm,51,0.593167425,1.288984801,422.4462138,FALSE
153,BC,7,POm,46,0.130305889,0.673894019,410.5335724,FALSE
56,BC,11,POm,51,1.07089461,1.953841261,408.2617894,FALSE
256,POm,50,BC,12,-0.446463502,1.450973108,402.5173446,FALSE
308,POm,54,BC,6,0.236963841,0.915268579,397.7340321,FALSE
310,POm,54,BC,8,0.28838886,1.887885783,393.9930689,FALSE
398,POm,62,BC,10,0.121502854,0.906498353,381.4590534,FALSE
208,POm,46,BC,12,-0.130594086,1.257792573,379.0772005,FALSE
360,POm,59,BC,0,0.043619922,0.783493955,376.4472743,FALSE
89,BC,3,POm,50,0.359158247,0.857318674,375.6131549,FALSE
39,BC,10,POm,51,0.431307339,1.496428541,373.5237533,FALSE
91,BC,3,POm,52,2.506130448,5.223087673,372.1793194,FALSE
394,POm,61,BC,8,0.013944893,2.05526462,367.341843,FALSE
58,BC,11,POm,53,0.308241503,0.864875125,358.1812865,FALSE
61,BC,11,POm,56,0.406030155,0.520250642,348.2555885,FALSE
362,POm,59,BC,10,0.254928014,1.370014502,347.032746,FALSE
5,BC,0,POm,51,0.451043876,1.406539458,344.4852929,FALSE
214,POm,46,BC,8,-0.012081786,1.84472947,342.5298885,FALSE
307,POm,54,BC,5,-0.427437161,1.478375389,340.7997065,FALSE
403,POm,62,BC,5,-0.188745927,1.478926327,340.4304415,FALSE
396,POm,62,BC,0,0.13902217,1.049943557,337.6153532,FALSE
400,POm,62,BC,12,-0.433324221,1.63013405,331.6973315,FALSE
305,POm,54,BC,3,-0.080910878,0.101963194,330.8958047,FALSE
6,BC,0,POm,52,-0.296391041,2.366193903,315.172253,FALSE
60,BC,11,POm,55,-0.152998069,0.785449374,312.6150516,FALSE
392,POm,61,BC,6,-0.079092801,1.041357612,312.4075159,FALSE
40,BC,10,POm,52,-0.014871974,3.325199734,310.7848864,FALSE
393,POm,61,BC,7,-0.589339143,1.340179898,307.9002375,FALSE
250,POm,49,BC,8,0.824019046,2.73532714,305.6894255,FALSE
152,BC,6,POm,62,0.122734591,0.58292274,304.7450885,FALSE
368,POm,59,BC,6,0.108866935,1.07362288,297.0731463,FALSE
63,BC,11,POm,58,-0.188518565,0.645571997,294.1745176,FALSE
35,BC,10,POm,47,-0.079115674,0.443507028,287.7280865,FALSE
74,BC,12,POm,52,0.654526627,1.938549823,286.0793745,FALSE
276,POm,52,BC,0,0.040636997,1.023297973,284.0192876,FALSE
238,POm,48,BC,8,-1.12929168,2.218473857,283.2369096,FALSE
386,POm,61,BC,10,-0.553056129,1.422709058,282.6136757,FALSE
328,POm,56,BC,12,0.319295658,1.366886652,280.4951357,FALSE
358,POm,58,BC,8,0.2230017,2.055005862,276.9246414,FALSE
372,POm,60,BC,0,0.271927332,1.361657969,276.3648636,FALSE
388,POm,61,BC,12,-0.032398022,1.567013624,275.9857328,FALSE
259,POm,50,BC,5,0.041192502,0.981368315,275.4737506,FALSE
370,POm,59,BC,8,-0.346499987,2.433512343,275.3590593,FALSE
273,POm,51,BC,7,0.129453362,0.632337814,271.4451526,FALSE
352,POm,58,BC,12,0.642351272,1.329675226,270.2173843,FALSE
235,POm,48,BC,5,0.137382807,0.985368492,264.9971838,FALSE
374,POm,60,BC,10,0.265352652,1.258979909,262.5593626,FALSE
90,BC,3,POm,51,0.743758125,1.321963263,262.4065884,FALSE
140,BC,6,POm,50,0.254678104,0.848221918,261.6507746,FALSE
125,BC,5,POm,52,-0.053901712,2.058682778,260.8249886,FALSE
391,POm,61,BC,5,0.19646616,1.137356356,259.9720556,FALSE
334,POm,56,BC,8,-0.776185099,2.285492488,259.6854318,FALSE
